time,player,wood,food,gold,stone,vils,mils
400,TheBooyash,4,4,3,3,0,0
400,Mr.Gold,4,4,4,3,0,0
500,TheMustache,5,6,4,4,0,0
500,TheHeleeee,5,5,4,4,0,0
500,TheBooyash,5,5,4,4,0,0
500,Mr.Gold,5,5,5,3,0,0
600,TheMustache,6,7,5,5,0,0
600,TheHeleeee,6,6,5,5,0,0
600,TheBooyash,6,7,5,5,0,0
600,Mr.Gold,6,6,6,4,0,0
700,TheMustache,7,8,6,5,0,0
700,TheHeleeee,7,8,5,6,0,0
700,TheBooyash,7,8,6,6,0,0
700,Mr.Gold,7,7,7,5,0,0
800,TheMustache,8,9,7,6,0,0
800,TheHeleeee,8,9,6,7,0,0
800,TheBooyash,8,9,7,7,0,0
800,Mr.Gold,8,8,8,6,0,0
900,TheMustache,9,10,8,7,0,0
900,TheHeleeee,9,10,7,8,0,0
900,TheBooyash,10,10,8,8,0,0
900,Mr.Gold,9,9,9,6,0,0
1000,TheMustache,11,12,9,8,0,0
1000,TheHeleeee,10,11,8,9,0,0
1000,TheBooyash,11,11,9,8,0,0
1000,Mr.Gold,10,10,11,7,0,0
1100,TheMustache,12,13,10,9,0,0
1100,TheHeleeee,11,12,9,10,0,0
1100,TheBooyash,12,12,9,9,0,0
1100,Mr.Gold,11,11,12,8,0,0
1200,TheMustache,13,14,11,10,0,0
1200,TheHeleeee,12,13,10,11,0,0
1200,TheBooyash,13,14,10,10,0,0
1200,Mr.Gold,12,12,13,9,0,0
1300,TheMustache,14,15,12,11,0,0
1300,TheHeleeee,13,14,11,12,0,0
1300,TheBooyash,14,15,11,11,0,0
1300,Mr.Gold,13,13,14,9,0,0
1400,TheMustache,15,16,13,11,0,0
1400,TheHeleeee,14,16,11,13,0,0
1400,TheBooyash,15,16,12,12,0,0
1400,Mr.Gold,14,14,15,10,0,0
1500,TheMustache,16,18,14,12,0,0
1500,TheHeleeee,15,17,12,14,0,0
1500,TheBooyash,16,17,13,13,0,0
1500,Mr.Gold,15,15,16,11,0,0
1600,TheMustache,17,19,15,13,0,0
1600,TheHeleeee,16,18,13,15,0,0
1600,TheBooyash,17,18,14,14,0,0
1600,Mr.Gold,16,16,17,12,0,0
1700,TheMustache,18,20,16,14,0,0
1700,TheHeleeee,17,19,14,16,0,0
1700,TheBooyash,19,20,15,15,0,0
1700,Mr.Gold,17,17,18,12,0,0
1800,TheMustache,19,21,17,15,0,0
1800,TheHeleeee,18,20,15,17,0,0
1800,TheBooyash,20,21,16,16,0,0
1800,Mr.Gold,18,18,19,13,0,0
1900,TheMustache,20,22,18,16,0,0
1900,TheHeleeee,19,21,16,18,0,0
1900,TheBooyash,21,22,17,16,0,0
1900,Mr.Gold,19,19,20,14,0,0
2000,TheMustache,22,24,19,17,0,0
2000,TheHeleeee,21,23,17,19,0,0
2000,TheBooyash,22,23,18,17,0,0
2000,Mr.Gold,20,20,22,15,0,0
2100,TheMustache,23,25,19,17,0,0
2100,TheHeleeee,22,24,17,20,0,0
2100,TheBooyash,23,24,18,18,0,0
2100,Mr.Gold,21,21,23,15,0,0
2200,TheMustache,24,26,20,18,0,0
2200,TheHeleeee,23,25,18,21,0,0
2200,TheBooyash,24,25,19,19,0,0
2200,Mr.Gold,22,22,24,16,0,0
2300,TheMustache,25,27,21,19,0,0
